stage,operation,test_number,slice_name,parquet_path,query_name,total_files,total_rows_in_dataset,rows_returned,execution_time_sec,throughput_rows_sec,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions_parquet
queries,standard,1,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q1_monthly_payment_statistics,1,3842001,5,7.691032397000001,499542.9484211545,84.26714706420898,2026-04-20T18:24:44.070086+00:00,2026-04-20T18:24:51.761147+00:00,54.963235294117645,54.98828125,0.7108037935119271,12.774999999999995,132.4,"[53.164705882352926, 53.608823529411765, 56.889705882352935, 61.25882352941177]","[100.0, 100.0, 100.0, 100.0]",0,0,29.71484375,0.1484375,1.7773399353027344,1.777313232421875,0,Query was processed successfuly,1
queries,standard,2,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q2_most_valuable_routes,1,3842001,100,8.722449140000009,440472.73172176915,84.26714706420898,2026-04-20T18:30:26.854914+00:00,2026-04-20T18:30:35.577391+00:00,55.01278409090909,55.0390625,0.7114598560417282,11.992207792207793,71,"[51.371428571428574, 63.672727272727265, 50.32337662337662, 60.34675324675326]","[100.0, 100.0, 100.0, 100.0]",0,0,44.73046875,0.32421875,16.055313110351562,16.055299758911133,0,Query was processed successfuly,1
queries,standard,100,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,14,0,0,4.3300017269999955,0,1071.233310699463,2026-04-20T18:42:21.409825+00:00,2026-04-20T18:42:25.739857+00:00,55.05909455128205,55.09375,0.712166412,14.22307692307692,131.6,"[55.917948717948725, 45.23589743589743, 38.043589743589735, 62.205128205128204]","[100.0, 100.0, 100.0, 100.0]",0,0,20.14453125,0.14453125,0.1626911163330078,0.15468788146972656,0,"Query processed with errors, check pipeline.log",0
queries,standard,101,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,14,52083818,71,11.250126734999867,4629620.556892386,1048.5106525421143,2026-04-20T22:12:11.861326+00:00,2026-04-20T22:12:23.111481+00:00,55.50720215,55.5546875,0.7181250583836379,10.981249999999998,62.6,"[75.63750000000002, 76.32291666666667, 71.753125, 79.13645833333332]","[100.0, 100.0, 100.0, 100.0]",0,0,6.4609375,0.25,243.21414279937744,243.21417427062988,0,Query was processed successfuly,1
queries,standard,102,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,14,52083818,71,12.603754340000023,4132405.0433689984,1049.0430698394775,2026-04-21T00:29:47.252633+00:00,2026-04-21T00:29:59.856421+00:00,55.00930397727273,55.0703125,0.711864167,11.064545454545458,83.7,"[63.391818181818174, 65.53000000000002, 64.90272727272728, 67.07000000000002]","[100.0, 100.0, 100.0, 100.0]",0,0,820.578125,0.6875,249.24512195587158,249.24509525299072,0,Query was processed successfuly,1
queries,standard,3,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,14,52083818,71,10.712770501000023,4861843.908178379,1161.4181337356567,2026-04-21T21:36:05.663360+00:00,2026-04-21T21:36:16.376166+00:00,55.09615384615385,55.14453125,0.7128235528172108,11.684615384615384,146.1,"[68.0901098901099, 68.63516483516484, 68.31318681318682, 73.71428571428572]","[100.0, 100.0, 100.0, 100.0]",0,0,57.15625,1.1953125,23.67088794708252,23.67086124420166,0,Query was processed successfuly,1
queries,standard,4,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q2_most_valuable_routes,14,52083818,100,14.387206863000017,3620147.9895270993,1161.4181337356567,2026-04-21T21:40:48.780313+00:00,2026-04-21T21:41:03.167548+00:00,55.00157563,55.0625,0.7117624603875107,11.528571428571423,70,"[71.94285714285714, 75.5319327731092, 71.30084033613444, 77.65630252100841]","[100.0, 100.0, 100.0, 100.0]",0,0,275.90625,0.640625,228.01085758209229,228.0107241,0,Query was processed successfuly,1
queries,standard,5,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,q1_monthly_payment_statistics,31,107143226,158,14.34142995100001,7470888.632868094,2381.8712244033813,2026-04-21T21:46:24.964197+00:00,2026-04-21T21:46:39.305654+00:00,55.09411108193277,55.14453125,0.7128239127503935,11.340336134453782,76.4,"[74.1168067226891, 71.5747899159664, 78.94285714285714, 75.68571428571428]","[100.0, 100.0, 100.0, 100.0]",0,0,95.41015625,0.78125,53.261624336242676,53.26165580749512,0,Query was processed successfuly,1
queries,standard,6,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,q2_most_valuable_routes,31,107143226,100,20.66334933,5185181.951583702,2381.8712244033813,2026-04-21T21:54:35.782763+00:00,2026-04-21T21:54:56.446141+00:00,55.10380454881657,55.17578125,0.7132267844050502,11.72130177514793,128.8,"[80.90710059171596, 80.2147928994083, 81.49230769230769, 82.31005917159762]","[100.0, 100.0, 100.0, 100.0]",0,0,530.0273438,2.10546875,465.01304817199707,465.0130224227905,0,Query was processed successfuly,1
queries,standard,7,4th-slice,hdfs:///data/parquet/4th-slice_compacted,q1_monthly_payment_statistics,115,633413894,567,72.31993629700001,8758496.293452563,11799.798226356506,2026-04-22T17:56:56.129387+00:00,2026-04-22T17:58:08.449356+00:00,55.38068926,55.6015625,0.7237831986091809,11.570806451612897,108.6,"[68.45709677419347, 66.12322580645159, 66.6301612903224, 66.87241935483861]","[100.0, 100.0, 100.0, 100.0]",0,0,8194.933594,6.4765625,3268.192222595215,3268.192096710205,0,Query was processed successfuly,1
