stage,operation,test_number,slice_path,processed_files,processed_rows,rows_after_cleaning,execution_time_sec,throughput_rows_sec,chunksize,dataset_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,msg
"ingestion, cleaning, transformation and profiling",in-memory,1,../data/CSV/raw-data/1st-slice/,1,3898963,3842004,25.623865702,152161.389126219,0,402.360382080078,2026-04-14T11:45:39.163430+01:00,2026-04-14T11:46:04.817964+01:00,1598.28745404412,3174.80078125,38.1646658856068,107.583823529412,130.7,"[28.363235294117636, 7.427941176470589, 56.87058823529412, 13.104411764705883]","[100.0, 100.0, 100.0, 100.0]",406.3125,7.09375,406.0625,7.24609375,"Ingestion, cleaning, transformation and profiling completed successfully"
"ingestion, cleaning, transformation and profiling",in-memory,2,../data/CSV/raw-data/1st-slice/,1,3898963,3842004,24.798099029,157228.301872671,0,402.360382080078,2026-04-14T11:50:51.317693+01:00,2026-04-14T11:51:16.140898+01:00,1521.4921875,3346.421875,40.2277439031548,106.385714285714,122.5,"[18.15, 5.371428571428572, 76.36249999999998, 0.9714285714285714]","[100.0, 100.0, 100.0, 9.1]",407.0625,7.09375,406.5625,7.80078125,"Ingestion, cleaning, transformation and profiling completed successfully"
"ingestion, cleaning, transformation and profiling",in-memory,3,../data/CSV/raw-data/1st-slice/,1,3898963,3842004,24.887055565,156666.303485227,0,402.360382080078,2026-04-14T11:53:55.147361+01:00,2026-04-14T11:54:20.063371+01:00,1583.64052083333,2987.00390625,35.9071368365198,107.556,126.1,"[25.093333333333334, 59.93466666666665, 4.430666666666667, 15.717333333333332]","[100.0, 100.0, 27.3, 100.0]",406.8125,7.09765625,407.14453125,7.60546875,"Ingestion, cleaning, transformation and profiling completed successfully"
"ingestion, cleaning, transformation and profiling",chunking,4,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,284.631051974,183954.514579045,100000,5343.14686489105,2026-04-14T14:46:29.702521+01:00,2026-04-14T14:51:14.438641+01:00,215.249525207182,252.71484375,3.03791583806235,107.144198895028,127.5,"[5.676400947119181, 12.852801894238347, 34.753749013417526, 47.79273875295978]","[100.0, 100.0, 100.0, 100.0]",5346.078125,39.42578125,5427.015625,45.41796875,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
"ingestion, cleaning, transformation and profiling",chunking,5,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,279.910868575,187056.570066592,100000,5343.14686489105,2026-04-14T14:54:55.584961+01:00,2026-04-14T14:59:35.609361+01:00,228.307081857287,254.6015625,3.06059631336622,107.205587044535,169.3,"[38.753603238866454, 12.017327935222676, 10.215870445344132, 39.91943319838054]","[100.0, 100.0, 100.0, 100.0]",5346.078125,39.3984375,5426.81640625,43.4453125,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
"ingestion, cleaning, transformation and profiling",chunking,6,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,281.858642475,185763.922440818,100000,5343.14686489105,2026-04-14T15:03:52.449148+01:00,2026-04-14T15:08:34.310884+01:00,231.639596527201,252.15625,3.03120091473221,107.216943521595,133.9,"[13.753903654485045, 41.5444352159469, 5.408803986710966, 40.059053156146184]","[100.0, 100.0, 100.0, 100.0]",5346.078125,39.38671875,5427.3515625,46.0703125,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
"ingestion, cleaning, transformation and profiling",chunking,7,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,279.685287446,187207.441185512,1000000,5343.14686489105,2026-04-14T15:12:06.016148+01:00,2026-04-14T15:16:45.814941+01:00,931.973539323818,1249.890625,15.0250870474764,106.92214532872,138.1,"[4.493425605536331, 10.966320645905425, 12.137139561707034, 73.14463667820071]","[100.0, 100.0, 100.0, 100.0]",5345.57421875,35.07421875,5426.51171875,39.50390625,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
"ingestion, cleaning, transformation and profiling",chunking,8,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,286.127979571,182992.12498723,1000000,5343.14686489105,2026-04-14T15:21:40.018199+01:00,2026-04-14T15:26:26.194952+01:00,937.267428897472,1246.72265625,14.9870045102684,106.737191011236,135.1,"[14.606629213483147, 60.36966292134827, 25.178876404494385, 2.379213483146065]","[100.0, 100.0, 100.0, 100.0]",5345.32421875,35.0390625,5426.26171875,46.265625,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
"ingestion, cleaning, transformation and profiling",chunking,9,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,290.046658983,180519.807342683,1000000,5343.14686489105,2026-04-14T15:29:44.821370+01:00,2026-04-14T15:34:34.898615+01:00,837.859154625277,1245.87890625,14.9768687217785,106.842699115044,133.2,"[6.376327433628324, 59.37323008849557, 19.746570796460183, 15.372123893805309]","[100.0, 100.0, 100.0, 100.0]",5346.5703125,35.00390625,5426.7890625,39.88671875,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
"ingestion, cleaning, transformation and profiling",chunking,10,../data/CSV/raw-data/2nd-slice,14,52359167,52083818,299.584952082,174772.353004128,3000000,5343.14686489105,2026-04-14T15:45:05.634797+01:00,2026-04-14T15:50:05.291844+01:00,1721.98549877733,3014.19140625,36.2339610769234,107.239470655926,141.4,"[23.434867663981578, 57.88630609896433, 4.2302646720368235, 17.5596087456847]","[100.0, 100.0, 100.0, 100.0]",5346.32421875,34.85546875,5428.44140625,37.91015625,"Ingestion, cleaning, transformation and profiling completed successfully. Vendor summary is not computed in chunk mode."
