stage,operation,test_number,slice_path,processed_files,processed_rows,execution_time_sec,throughput_rows_sec,chunksize,dataset_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,msg
ingestion,in-memory,1,../data/CSV/raw-data/1st-slice,1,3898963,13.26463912,293936.605792861,0,402.360382080078,2026-04-16T16:44:11.034161+01:00,2026-04-16T16:44:24.298842+01:00,1382.92431640625,2591.73828125,31.1556007391111,108.7025,138.3,"[82.00750000000001, 5.2675, 1.0875, 17.139999999999997]","[100.0, 50.0, 16.7, 100.0]",402.4453125,0,401.9453125,0.25,Ingestion finished successfully
ingestion,in-memory,2,../data/CSV/raw-data/1st-slice,1,3898963,10.706621633,364163.704821939,0,402.360382080078,2026-04-16T16:48:33.149052+01:00,2026-04-16T16:48:43.855715+01:00,1406.62432065217,2614.7421875,31.4321482505503,107.534782608696,155,"[12.773913043478261, 54.20869565217391, 37.13478260869565, 1.2652173913043476]","[100.0, 100.0, 100.0, 9.1]",401.6953125,0,401.1953125,0.76171875,Ingestion finished successfully
ingestion,in-memory,3,../data/CSV/raw-data/1st-slice,1,3898963,10.43308874,373711.285043666,0,402.360382080078,2026-04-16T16:52:51.758384+01:00,2026-04-16T16:53:02.191627+01:00,1498.207421875,2521.4921875,30.3111781455909,107.85,147.7,"[0.44499999999999995, 95.845, 6.1850000000000005, 3.0549999999999997]","[5.6, 100.0, 66.7, 33.3]",401.9453125,0,401.48828125,0.4375,Ingestion finished successfully
ingestion,chunking,4,../data/CSV/raw-data/2nd-slice,14,52359167,99.772460146,524785.766767516,100000,5343.14686489105,2026-04-12T13:30:08.209669+01:00,2026-04-12T13:31:47.982170+01:00,146.284690604305,177.078125,2.1286806518838,107.196247240618,137.1,"[61.056070640176614, 27.58896247240616, 4.7810154525386315, 8.116777041942605]","[100.0, 100.0, 100.0, 100.0]",5334.55859375,0,5334.62109375,0.91796875,Ingestion finished successfully
ingestion,chunking,5,../data/CSV/raw-data/2nd-slice,14,52359167,99.76853209,524806.428471529,100000,5343.14686489105,2026-04-12T13:35:15.979116+01:00,2026-04-12T13:36:55.748289+01:00,145.829237332496,177.19921875,2.13013433609569,108.85594639866,157.4,"[3.9413735343383562, 49.795979899497496, 20.137520938023457, 29.112395309882757]","[26.7, 100.0, 100.0, 100.0]",5340.3046875,0,5340.20703125,1.23828125,Ingestion finished successfully
ingestion,chunking,6,../data/CSV/raw-data/2nd-slice,14,52359167,101.09842695,517902.885134851,100000,5343.14686489105,2026-04-12T13:40:15.737786+01:00,2026-04-12T13:41:56.836505+01:00,146.509802360893,176.08203125,2.1167044831291,108.688557993731,129.2,"[7.498275862068979, 9.031661442006268, 64.25454545454546, 24.047962382445125]","[100.0, 100.0, 100.0, 100.0]",5343.41796875,0,5423.18359375,1.40234375,Ingestion finished successfully
ingestion,chunking,7,../data/CSV/raw-data/2nd-slice,14,52359167,135.086466146,387597.429215528,1000000,5343.14686489105,2026-04-13T14:54:23.613227+01:00,2026-04-13T14:56:38.699736+01:00,445.523131545993,786.19921875,9.45099632087942,106.905646630237,164.3,"[24.82659380692169, 44.86448087431694, 3.6688524590163927, 26.40364298724953]","[100.0, 100.0, 100.0, 100.0]",5343.16796875,0,5342.66796875,1.51953125,Ingestion finished successfully
ingestion,chunking,8,../data/CSV/raw-data/2nd-slice,14,52359167,123.184130543,425047.989292119,1000000,5343.14686489105,2026-04-13T15:01:42.095748+01:00,2026-04-13T15:03:45.280021+01:00,431.209406369503,786.96875,9.46024694952303,107.043403441683,158.9,"[31.955640535372805, 3.439770554493305, 45.173804971319285, 19.817590822179728]","[100.0, 100.0, 100.0, 100.0]",5343.16796875,0,5423.375,1.22265625,Ingestion finished successfully
ingestion,chunking,9,../data/CSV/raw-data/2nd-slice,14,52359167,119.36341304,438653.400288193,1000000,5343.14686489105,2026-04-13T15:07:08.722099+01:00,2026-04-13T15:09:08.085785+01:00,417.895114391616,763.74609375,9.18109319993633,106.758282208589,162.4,"[4.136605316973416, 46.47137014314929, 3.407566462167686, 46.14764826175866]","[100.0, 100.0, 100.0, 100.0]",5343.41796875,0,5423.46484375,1.07421875,Ingestion finished successfully
ingestion,chunking,10,../data/CSV/raw-data/2nd-slice,14,52359167,130.337117924,401721.074042245,3000000,5343.14686489105,2026-04-13T15:20:43.307487+01:00,2026-04-13T15:22:53.644646+01:00,864.53954848885,2063.54296875,24.8061007191542,107.772300469484,156,"[19.60469483568076, 2.3577464788732403, 68.7023474178404, 10.511971830985908]","[100.0, 66.7, 100.0, 100.0]",5343.41796875,0,5423.6875,1.5625,Ingestion finished successfully
