counter,stage,operation,slice_path,processed_files,processed_rows,chunksize,dataset_size_mib,msg,execution_time_sec_average,execution_time_sec_standard_deviation,execution_time_sec_min,execution_time_sec_max,throughput_rows_sec_average,throughput_rows_sec_standard_deviation,throughput_rows_sec_min,throughput_rows_sec_max,avg_rss_mib_average,avg_rss_mib_standard_deviation,avg_rss_mib_min,avg_rss_mib_max,peak_rss_mib_average,peak_rss_mib_standard_deviation,peak_rss_mib_min,peak_rss_mib_max,memory_percent_of_total_average,memory_percent_of_total_standard_deviation,memory_percent_of_total_min,memory_percent_of_total_max,avg_process_cpu_percent_average,avg_process_cpu_percent_standard_deviation,avg_process_cpu_percent_min,avg_process_cpu_percent_max,peak_process_cpu_percent_average,peak_process_cpu_percent_standard_deviation,peak_process_cpu_percent_min,peak_process_cpu_percent_max,logical_read_mib_average,logical_read_mib_standard_deviation,logical_read_mib_min,logical_read_mib_max,logical_write_mib_average,logical_write_mib_standard_deviation,logical_write_mib_min,logical_write_mib_max,physical_read_mib_average,physical_read_mib_standard_deviation,physical_read_mib_min,physical_read_mib_max,physical_write_mib_average,physical_write_mib_standard_deviation,physical_write_mib_min,physical_write_mib_max,peak_system_cpu_per_core_percent_average,peak_system_cpu_per_core_percent_standard_deviation,peak_system_cpu_per_core_percent_min,peak_system_cpu_per_core_percent_max,avg_system_cpu_per_core_percent_average,avg_system_cpu_per_core_percent_standard_deviation,avg_system_cpu_per_core_percent_min,avg_system_cpu_per_core_percent_max,rows_in_group
1,ingestion,in-memory,../data/CSV/raw-data/1st-slice,1,3898963,0,402.360382,Ingestion finished successfully,11.468116,1.561834,10.433089,13.264639,343937.198553,43564.131224,293936.605793,373711.285044,1429.252020,60.881509,1382.924316,1498.207422,2575.990885,48.578555,2521.492188,2614.742188,30.966309,0.583967,30.311178,31.432148,108.029094,0.604108,107.534783,108.702500,147.000000,8.371977,138.300000,155.000000,402.028646,0.381881,401.695312,402.445312,0.000000,0.000000,0.000000,0.000000,401.542969,0.377979,401.195312,401.945312,0.483073,0.258885,0.250000,0.761719,"[68.53333333333333, 83.33333333333333, 61.13333333333333, 47.46666666666666]","[54.501865411500674, 28.867513459481287, 41.92807333199718, 47.07678125502351]","[5.6, 50.0, 16.7, 9.1]","[100.0, 100.0, 100.0, 100.0]","[31.74213768115942, 51.77373188405797, 14.802427536231884, 7.153405797101448]","[43.96538992197899, 45.33781713951972, 19.507605923701878, 8.694819047951631]","[0.44499999999999995, 5.2675, 1.0875, 1.2652173913043476]","[82.00750000000001, 95.845, 37.13478260869565, 17.139999999999997]",3
2,ingestion,chunking,../data/CSV/raw-data/2nd-slice,14,52359167,100000,5343.146865,Ingestion finished successfully,100.213140,0.766684,99.768532,101.098427,522498.360125,3979.811492,517902.885135,524806.428472,146.207910,0.346718,145.829237,146.509802,176.786458,0.613049,176.082031,177.199219,2.125173,0.007370,2.116704,2.130134,108.246917,0.913748,107.196247,108.855946,141.233333,14.547279,129.200000,157.400000,5339.427083,4.494416,5334.558594,5343.417969,0.000000,0.000000,0.000000,0.000000,5366.003906,49.597764,5334.621094,5423.183594,1.186198,0.246352,0.917969,1.402344,"[75.56666666666666, 100.0, 100.0, 100.0]","[42.319774731599566, 0.0, 0.0, 0.0]","[26.7, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[24.165240012194648, 28.805534604636645, 29.724360615035852, 20.425711578090162]","[31.997858160494008, 20.409371637574488, 30.874031385121317, 10.956483116424868]","[3.9413735343383562, 9.031661442006268, 4.7810154525386315, 8.116777041942605]","[61.056070640176614, 49.795979899497496, 64.25454545454546, 29.112395309882757]",3
3,ingestion,chunking,../data/CSV/raw-data/2nd-slice,14,52359167,1000000,5343.146865,Ingestion finished successfully,125.878003,8.200385,119.363413,135.086466,417099.606265,26439.754918,387597.429216,438653.400288,431.542551,13.817021,417.895114,445.523132,778.971354,13.191075,763.746094,786.968750,9.364112,0.158567,9.181093,9.460247,106.902444,0.142588,106.758282,107.043403,161.866667,2.739221,158.900000,164.300000,5343.251302,0.144338,5343.167969,5343.417969,0.000000,0.000000,0.000000,0.000000,5396.502604,46.622184,5342.667969,5423.464844,1.272135,0.226742,1.074219,1.519531,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[20.306279886422637, 31.591873857319843, 17.416741297501122, 30.789627357062642]","[14.449899950364, 24.393671588351246, 24.038677281359185, 13.7020299723094]","[4.136605316973416, 3.439770554493305, 3.407566462167686, 19.817590822179728]","[31.955640535372805, 46.47137014314929, 45.173804971319285, 46.14764826175866]",3
4,ingestion,chunking,../data/CSV/raw-data/2nd-slice,14,52359167,3000000,5343.146865,Ingestion finished successfully,129.966255,0.975061,128.860177,130.701469,402882.571849,3033.723399,400601.211426,406325.430078,860.315537,64.657201,793.649895,922.757167,2059.569010,35.262098,2022.488281,2092.675781,24.758329,0.423890,24.312577,25.156310,107.979461,0.180270,107.772300,108.100661,173.933333,18.635808,156.000000,193.200000,5343.501302,0.144338,5343.417969,5343.667969,0.000000,0.000000,0.000000,0.000000,5423.632812,0.178281,5423.433594,5423.777344,1.515625,0.435490,1.058594,1.925781,"[100.0, 88.89999999999999, 100.0, 100.0]","[0.0, 19.225763964014536, 0.0, 0.0]","[100.0, 66.7, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[31.702311579164434, 16.914491774545365, 35.91365825522756, 18.426964945700234]","[29.306697866521183, 23.026537089241245, 29.85950735432682, 19.11726679503209]","[10.381094527363183, 2.3577464788732403, 10.285323383084572, 4.538325991189427]","[65.12114537444936, 43.46194029850736, 68.7023474178404, 40.23059701492537]",3
5,ingestion,chunking,../data/CSV/raw-data/2nd-slice,14,52359167,500000,5343.146865,Ingestion finished successfully,114.848540,0.790454,113.990623,115.547315,455911.966277,3144.175018,453140.489664,459328.720237,294.121832,1.459177,293.066472,295.786991,441.048177,2.912246,437.746094,443.250000,5.301893,0.035007,5.262199,5.328355,108.267363,0.082688,108.176360,108.337887,128.433333,2.739221,126.000000,131.400000,5338.722656,8.397030,5329.054688,5344.195312,0.000000,0.000000,0.000000,0.000000,5418.859375,8.279672,5409.320312,5424.183594,1.307292,0.089105,1.253906,1.410156,"[86.66666666666667, 86.66666666666667, 100.0, 100.0]","[23.09401076758503, 23.09401076758503, 0.0, 0.0]","[60.0, 60.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[42.61288302181681, 12.391790627725698, 46.17936703187886, 3.160505712245017]","[48.08158887572239, 8.77132963457145, 37.42363550084036, 1.110219856712237]","[3.1808630393996213, 3.0846960167714874, 4.154297693920333, 2.2333333333333334]","[96.17672955974844, 20.50506566604128, 75.90675422138838, 4.390806754221388]",3
6,ingestion,chunking,../data/CSV/raw-data/1st-slice,1,3898963,100000,402.360382,Ingestion finished successfully,7.753904,0.340400,7.383321,8.052656,503494.596982,22416.610919,484183.506396,528077.157395,143.000832,2.026489,140.689766,144.473990,163.403646,1.488283,161.703125,164.468750,1.964296,0.017891,1.943854,1.977100,108.537072,0.377787,108.146000,108.900000,141.200000,9.260130,130.700000,148.200000,402.033854,1.362186,400.460938,402.820312,0.000000,0.000000,0.000000,0.000000,401.783854,1.152478,400.460938,402.570312,0.191406,0.125305,0.046875,0.269531,"[53.166666666666664, 41.233333333333334, 77.76666666666667, 60.0]","[45.33302695974904, 51.017088640310845, 38.50926295494804, 43.73659794725694]","[9.5, 8.3, 33.3, 13.3]","[100.0, 100.0, 100.0, 100.0]","[33.22043690349947, 2.4042608695652175, 63.650457405443625, 2.908598091198303]","[55.37298482989139, 2.3728523717399357, 51.044175412829404, 0.6961090466633523]","[0.4956521739130435, 0.7847826086956522, 4.939024390243903, 2.3179999999999996]","[97.15365853658537, 5.128000000000001, 97.50434782608697, 3.6760869565217384]",3
7,ingestion,chunking,../data/CSV/raw-data/3rd-slice,31,107462293,100000,10898.749530,Ingestion finished successfully,201.805419,2.076470,200.144186,204.133352,532541.919301,5455.453310,526431.823969,536924.378771,148.975259,0.230985,148.733907,149.194251,178.460938,1.461674,176.773438,179.332031,2.145301,0.017571,2.125015,2.155772,108.933375,0.340488,108.565601,109.237632,151.100000,20.032723,129.200000,168.500000,10896.381510,4.251192,10891.472656,10898.835938,0.000000,0.000000,0.000000,0.000000,10977.334635,4.425135,10972.246094,10980.281250,2.843750,1.210232,1.687500,4.101562,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[21.148718155910053, 22.98445051137365, 17.16162640673368, 42.25930076049582]","[13.479176863590105, 12.040658960533335, 8.26625716230085, 16.673782459206908]","[13.319520789288235, 9.910359408033836, 9.18763666947015, 23.376955424726663]","[36.713036164844404, 33.617661900756886, 25.692036645524993, 54.95743481324876]",3
8,ingestion,chunking,../data/CSV/raw-data/3rd-slice,31,107462293,1000000,10898.749530,Ingestion finished successfully,251.726726,2.489002,249.803821,254.538033,426928.308398,4202.006043,422185.603816,430186.745643,451.130148,9.475431,440.921814,459.644039,779.351562,7.344411,771.773438,786.437500,9.368678,0.088282,9.277582,9.453847,107.135946,0.146540,107.036016,107.304167,160.633333,32.663792,124.600000,188.300000,10899.002604,0.288675,10898.835938,10899.335938,0.000000,0.000000,0.000000,0.000000,10980.579427,1.064425,10979.425781,10981.523438,3.652344,1.185011,2.296875,4.492188,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[19.392707424335782, 28.254944434149593, 31.759674699981264, 21.367707623772148]","[9.720504003246884, 1.6138907121700068, 21.094720269583373, 13.946470125821351]","[12.19767441860466, 26.563984298331704, 14.008803827751198, 5.673934108527132]","[30.450909090909065, 29.77875598086125, 55.08042635658909, 32.342394504416106]",3
9,ingestion,chunking,../data/CSV/raw-data/3rd-slice,31,107462293,3000000,10898.749530,Ingestion finished successfully,264.710865,2.156378,262.522803,266.834097,405978.987633,3308.494203,402730.738943,409344.603932,992.034616,24.156346,965.491512,1012.730911,2096.055990,29.779447,2061.675781,2113.808594,25.196948,0.357986,24.783655,25.410350,107.883169,0.064429,107.841939,107.957414,152.533333,12.285086,143.400000,166.500000,10898.835938,0.000000,10898.835938,10898.835938,0.000000,0.000000,0.000000,0.000000,10982.236979,1.718223,10981.164062,10984.218750,2.963542,0.979062,2.132812,4.042969,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[20.779020967201365, 51.692676432640816, 21.551502943286096, 7.896298719062501]","[17.79974709798787, 22.051831363574436, 9.231448725811404, 7.745517399162375]","[9.942018537590112, 33.14151738672288, 10.992084726867349, 2.908219178082193]","[41.32202318229713, 76.07369007803791, 28.093614830072077, 16.819361483007206]",3
10,ingestion,chunking,../data/CSV/raw-data/4th-slice,115,634773754,100000,60401.126204,Ingestion finished successfully,1133.928103,8.038271,1127.913328,1143.057636,559819.396636,3954.667091,555329.612287,562785.932200,143.763942,0.231333,143.500734,143.934995,179.748698,0.693470,179.148438,180.507812,2.160782,0.008336,2.153566,2.169907,105.836879,0.162433,105.668906,105.993138,154.266667,21.265543,141.100000,178.800000,60399.052083,5.046597,60393.226562,60402.089844,0.000000,0.000000,0.000000,0.000000,60458.476562,47.452129,60403.707031,60487.250000,5.061198,2.592350,3.308594,8.039062,"[100.0, 100.0, 100.0, 100.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0]","[26.530136931225655, 18.95557065060349, 39.69068061886458, 16.096747372289325]","[8.930952646156998, 16.87667581133839, 13.475675989672837, 9.855626371193376]","[16.224939271255103, 9.040975081256763, 24.342204655248167, 6.545366710584095]","[32.020509442248546, 38.442072902942385, 49.58123481781372, 26.23076923076925]",3
