stage,operation,test_number,slice_path,parquet_path,processed_files,processed_rows,rows_after_cleaning,execution_time_sec,throughput_rows_sec,threads,chunksize,dataset_size_mib,parquet_files_size_mib,created_parquet_files,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,msg
"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,1,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,26.702095405000023,146017.11741580817,3,0,402.3603820800781,79.11843013763428,1,2026-04-14T22:11:50.316199+01:00,2026-04-14T22:12:17.133549+01:00,1532.1502899484535,3007.53515625,36.153945487031514,117.60824742268046,304.9,"[17.489690721649485, 48.51546391752577, 6.391752577319588, 34.86804123711341]","[100.0, 100.0, 100.0, 100.0]",408.87109375,86.2109375,408.12109375,7.6796875,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,2,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,25.336165660999995,153889.22902417238,3,0,402.3603820800781,79.1431770324707,1,2026-04-14T22:44:39.473310+01:00,2026-04-14T22:45:04.824305+01:00,1594.891966540404,3373.1484375,40.54902715787348,117.56464646464639,313.5,"[51.942424242424245, 16.304040404040393, 78.83737373737374, 37.3979797979798]","[100.0, 80.0, 100.0, 100.0]",409.30078125,78.7890625,486.734375,10.05859375,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,3,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,25.190419788,154779.59608507022,3,0,402.3603820800781,79.07271194458008,1,2026-04-14T22:57:21.239951+01:00,2026-04-14T22:57:46.463072+01:00,1513.999811746988,3013.0859375,36.22063808616412,116.74096385542168,310.8,"[22.14698795180723, 28.97951807228916, 43.86987951807229, 12.504819277108435]","[100.0, 100.0, 100.0, 100.0]",409.0546875,78.83203125,408.8046875,9.0,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,4,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,26.354608045999996,147942.36336942107,0,0,402.3603820800781,79.22515106201172,1,2026-04-14T23:01:40.975573+01:00,2026-04-14T23:02:07.388728+01:00,1509.6611689814815,2726.01953125,32.769811958668,119.42839506172835,385.6,"[3.6999999999999997, 27.397530864197535, 9.640740740740743, 66.53827160493827]","[100.0, 100.0, 100.0, 100.0]",408.71484375,83.6015625,408.46484375,8.0625,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,5,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,26.981444806,144505.34535989593,0,0,402.3603820800781,79.1653938293457,1,2026-04-14T23:06:48.555147+01:00,2026-04-14T23:07:15.627326+01:00,1637.8916118421052,2918.9921875,35.08957618013659,118.67263157894735,385.5,"[92.76105263157893, 8.093684210526318, 17.074736842105263, 4.874736842105262]","[100.0, 100.0, 100.0, 100.0]",409.03515625,86.2578125,488.90625,8.08203125,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",in-memory,6,../data/CSV/raw-data/1st-slice/,../data/parquet/1st-slice/,1,3898963,3842004,25.330084742999993,153926.1727530337,0,0,402.3603820800781,79.11145114898682,1,2026-04-14T23:11:46.394737+01:00,2026-04-14T23:12:11.823705+01:00,1548.4367578125,3018.97265625,36.291437064028905,119.15700000000001,396.5,"[12.64, 7.4879999999999995, 30.059, 60.154999999999994]","[100.0, 100.0, 100.0, 100.0]",408.78515625,86.203125,408.53515625,11.32421875,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,7,../data/CSV/raw-data/2nd-slice,../data/parquet/2nd-slice/,14,52359167,52083818,343.098278626,152606.90671396512,3,100000,5343.146864891052,1066.5759868621826,529,2026-04-14T23:21:00.071092+01:00,2026-04-14T23:26:43.176352+01:00,312.6593692236599,411.30859375,4.944390573750285,111.85489833641414,169.1,"[43.14282193468891, 16.680345040049264, 16.384658040665407, 25.346025878003704]","[100.0, 100.0, 100.0, 100.0]",5349.59765625,1105.1640625,5430.95703125,1014.8515625,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,8,../data/CSV/raw-data/2nd-slice,../data/parquet/2nd-slice/,14,52359167,52083818,341.418223575,153357.8566830606,3,100000,5343.146864891052,1066.5759868621826,529,2026-04-14T23:30:05.073979+01:00,2026-04-14T23:35:46.598785+01:00,316.5047007415254,425.8828125,5.119589027909194,112.5165725047083,179.8,"[42.29284369114878, 9.535593220338985, 17.545386064030115, 31.760389202762063]","[100.0, 100.0, 100.0, 100.0]",5349.71484375,1107.09375,5431.0859375,1007.33984375,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,9,../data/CSV/raw-data/2nd-slice,../data/parquet/2nd-slice/,14,52359167,52083818,339.748150531,154111.70573899132,3,100000,5343.146864891052,1066.5759868621826,529,2026-04-14T23:41:25.126629+01:00,2026-04-14T23:47:04.895663+01:00,316.49083024364404,416.16015625,5.002702399383168,113.08680387409194,450.8,"[16.643765133171883, 31.32542372881355, 13.449031476997574, 40.54509685230032]","[100.0, 100.0, 100.0, 100.0]",5349.7265625,1105.15234375,5431.078125,1005.90625,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
"ingestion, cleaning, transformation, profiling and persistence to parquet",chunking,10,../data/CSV/raw-data/2nd-slice,../data/parquet/2nd-slice/,14,52359167,52083818,342.912631423,152689.5255585156,0,100000,5343.146864891052,1066.5759868621826,529,2026-04-14T23:51:57.289481+01:00,2026-04-14T23:57:40.237562+01:00,321.97661206570996,412.57421875,4.959597818920843,114.40126888217522,170.0,"[18.766888217522645, 35.55093655589121, 11.899697885196359, 35.936193353474344]","[100.0, 100.0, 100.0, 100.0]",5349.63671875,1105.1484375,5431.015625,1001.046875,"Ingestion, cleaning, transformation, profiling and persistence to parquet completed successfully"
