stage,operation,test_number,slice_name,parquet_path,query_name,total_files,total_rows_in_dataset,rows_returned,execution_time_sec,throughput_rows_sec,threads,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,msg
queries,standard,1,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.130164944999997,29516426.2543966,3,79.1833543777466,2026-04-15T17:43:25.779654+01:00,2026-04-15T17:43:25.913534+01:00,129.4375,129.4375,1.55598391235851,126.6,126.6,"[0.0, 50.0, 0.0, 100.0]","[0.0, 50.0, 0.0, 100.0]",1.44921875,0,1.69140625,0,Query was processed successfully
queries,standard,2,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.155515268999999,24704995.3660823,3,79.1833543777466,2026-04-15T17:46:59.917538+01:00,2026-04-15T17:47:00.183055+01:00,132.28515625,136.7734375,1.64417088032217,132.4,145.7,"[60.0, 18.2, 77.25, 22.2]","[100.0, 36.4, 100.0, 44.4]",6.86328125,0,6.86328125,0,Query was processed successfully
queries,standard,3,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.125002440000003,30735432.0443658,3,79.1833543777466,2026-04-15T18:03:50.750032+01:00,2026-04-15T18:03:50.883829+01:00,128.0078125,128.0078125,1.53879746523384,141.2,141.2,"[0.0, 33.3, 0.0, 0.0]","[0.0, 33.3, 0.0, 0.0]",1,0,1.203125,0,Query was processed successfully
queries,standard,4,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.111780711000002,34370903.2231862,0,79.1833543777466,2026-04-15T18:07:12.473217+01:00,2026-04-15T18:07:12.608957+01:00,129.3359375,129.3359375,1.55476301720758,92.3,92.3,"[100.0, 0.0, 33.3, 50.0]","[100.0, 0.0, 33.3, 50.0]",1.32421875,0,1.69140625,0,Query was processed successfully
queries,standard,5,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.126840397999999,30290065.788031,0,79.1833543777466,2026-04-15T18:09:43.136390+01:00,2026-04-15T18:09:43.270333+01:00,129.5234375,129.5234375,1.55701551521492,136.1,136.1,"[0.0, 50.0, 0.0, 100.0]","[0.0, 50.0, 0.0, 100.0]",1.32421875,0,1.56640625,0,Query was processed successfully
queries,standard,6,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0.119460977000003,32161163.3897813,0,79.1833543777466,2026-04-15T18:12:08.583258+01:00,2026-04-15T18:12:08.719364+01:00,128.5703125,128.5703125,1.54555644305075,188.3,188.3,"[66.7, 100.0, 0.0, 100.0]","[66.7, 100.0, 0.0, 100.0]",1.078125,0,1.375,0,Query was processed successfully
queries,standard,7,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,0.236474727999997,16246996.1695021,3,79.1833543777466,2026-04-15T18:17:10.247281+01:00,2026-04-15T18:17:10.513643+01:00,136.373046875,143.60546875,1.72629554341237,151.45,202.1,"[42.05, 56.25, 76.2, 27.8]","[75.0, 62.5, 85.7, 55.6]",20.6875,0,20.7421875,0,Query was processed successfully
queries,standard,8,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,0.226113785000003,16991462.948621,3,79.1833543777466,2026-04-15T18:19:29.287049+01:00,2026-04-15T18:19:29.537277+01:00,136.529296875,143.578125,1.72596684148913,182.5,190.6,"[42.45, 27.8, 40.0, 47.9]","[66.7, 55.6, 80.0, 62.5]",19.8046875,0,19.8125,0,Query was processed successfully
queries,standard,9,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,0.222105006999996,17298142.2251326,3,79.1833543777466,2026-04-15T18:22:04.075263+01:00,2026-04-15T18:22:04.360434+01:00,136.50390625,144.0234375,1.73132323903484,169.6,190.6,"[61.150000000000006, 18.75, 39.3, 63.35]","[66.7, 37.5, 50.0, 66.7]",25.8046875,0,26.80859375,0,Query was processed successfully
queries,standard,10,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,0.215142204000017,17857974.5329731,0,79.1833543777466,2026-04-15T18:26:16.110729+01:00,2026-04-15T18:26:16.378290+01:00,138.521484375,147.78515625,1.77654331712517,186.1,243.3,"[44.45, 80.0, 100.0, 70.85]","[55.6, 100.0, 100.0, 100.0]",26.16015625,0,26.6796875,0,Query was processed successfully
